formal,informal
اصن,اصلاً
کوچیک,کوچک
سری,مرتبه
دیگه,دیگر
اگه,اگر
اوه,عجب
واسه,برای
هی,ای
چیه,چیست
چی,چه-چیز
تموم,تمام
هیچی,هیچ‌ چیز
آروم,آرام
همدیگه,یکدیگر
جوری,طوری
راستش,حقیقتاً
چیزا,چیزها
کوچولو,کوچک
هیشکی,هیچ‌کس
یه عالمه,بسیار
بفرما,بفرمایید
گمون,گمان
اونور,آن‌ طرف
اینور,این طرف
اینورا,این طرف‌ها
اونورا,آن طرف‌ها
پیشت,نزدت
پیشم,نزدم
هیچکی,هیچ‌کس
مث,مثل
همچین,چنین
عمرا,هرگز
صبونه,صبحانه
صبحونه,صبحانه
اونقدری,آن‌قدر
اونقدرها,آن‌قدر
ازمون,از ما
ازتون,از شما
خونواده,خانواده
خیلیا,بسیاری
اصن,اصلاً
چنتا,چندتا
تیکه,تکه
خدایی,انصافاً
خداییش,انصافاً
بزرگا,بزرگ‌ها
کسای,کسایی
بدک,چندان بد
داغون,خراب
اولا,اوایل
انشاله,انشاالله
ماشاله,ماشاالله
ماشالا,ماشاالله
ماشالاه,ماشاالله
انشالا,انشاالله
انشالاه,انشاالله
یکم,کمی
خفن,درخشان
یخورده,کمی
یه خورده,کمی
توش,درش
توی,در
گول,فریب
همچی,چنین
همدیگه,یکدیگر
عین,مانند
فیک,تقلبی
به خاطر,به دلیل
قوی,نیرومند
اینهمه,این مقدار
کدوم,کدام
دنبال,درپی
نت,اینترنت
بعدش,بعد آن
دونه,دانه
مامان,مادر
داداش,برادر
آبجی,خواهر
بیشوخی,جدی
تخمی,زشت
اوضا,اوضاع
کسایی,کسانی
اونا,آن‌ها
اونا,آن‌ها
اونو,آن را
والا,والله
چیکار,چه‌کار
چکار,چه کار
چجور,چطور
خیلیا,بسیاری
چجوری,چطور
چه‌جور,چطور
بیخود,بی ارزش
بی خود,بی‌ارزش
شان,آنان
واست,برای تو
واسم,برای من
واسش,برای او - برای آن
واسمون,برای ما
واستون,برای شما
واسشون,برای آنان
ی,یک
ک,که
ب,به
یه,یک
رو,را - رو
چن,چند
مث,مثل
دوس,دوست
همون,همان
اون,آن - او
ان,هستند
جور,طور
باحال,جذاب
ازین,از این
ازون,از آن
چیکار,چه کار
انقد,اینقدر
انقدر,اینقدر
اینقد,اینقدر
اینقدر,اینقدر
مثه,مثل
الاف,معطل
علاف,معطل
اورجینال,اصل
ارجینال,اصل
نامبر,شماره
گشنه,گرسنه
گشن,گرسنه
گشنگی,گرسنگی
ممنون,سپاسگزار
مرسی,متشکر
گود,خوب
مچکر,سپاسگزار
اصن,اصلا
واقن,واقعا
اس,است
مگه,مگر
مال,متعلق به
آره,آری
آتیش,آتش
جیگر,جگر
ولش,رهایش
ولت,رهایت
ولم,رهایم
ولتون,رهایتان
ولتان,رهایتان
ولشون,رهایشان
ولشان,رهایشان
وگرنه,والا
دهن,دهان
برندارم,برندارم
برنمیدارم,برنمی‌دارم
برمیدارم,برمی‌دارم
برنداری,برنداری
برنمیداری,برنمی‌داری
برمیداری,برمی‌داری
برنداره,برندارد
برنمیداره,برنمی‌دارد
برمیداره,برمی‌دارد
برنداریم,برنداریم
برنمیداریم,برنمی‌داریم
برمیداریم,برمی‌داریم
برندارین,برندارید
برنمیدارین,برنمی‌دارید
برمیدارین,برمی‌دارید
برندارید,برندارید
برنمیدارید,برنمی‌دارید
برمیدارید,برمی‌دارید
برندارند,برندارند
برنمیدارند,برنمی‌دارند
برمیدارند,برمی‌دارند
برندار,برندار
برنمیدار,برنمی‌دار
برمیدار,برمی‌دار
برندارن,برندارند
برنمیدارن,برنمی‌دارند
برمیدارن,برمی‌دارند
درنیارم,درنیاورم
درنمیارم,درنمی‌آورم
درمیارم,درمی‌آورم
درنیاری,درنیاوری
درنمیاری,درنمی‌آوری
درمیاری,درمی‌آوری
درنیاره,درنیاورد
درنمیاره,درنمی‌آورد
درمیاره,درمی‌آورد
درنیاریم,درنیاوریم
درنمیاریم,درنمی‌آوریم
درمیاریم,درمی‌آوریم
درنیارین,درنیاورید
درنمیارین,درنمی‌آورید
درمیارین,درمی‌آورید
درنیارید,درنیاورید
درنمیارید,درنمی‌آورید
درمیارید,درمی‌آورید
درنیارند,درنیاورند
درنمیارند,درنمی‌آورند
درمیارند,درمی‌آورند
درنیار,درنیاور
درنمیار,درنمی‌آور
درمیار,درمی‌آور
درنیارن,درنیاورند
درنمیارن,درنمی‌آورند
درمیارن,درمی‌آورند
وانستم,نایستم
وانمیستم,نمی‌ایستم
وامیستم,می‌ایستم
وانستی,نایستی
وانمیستی,نمی‌ایستی
وامیستی,می‌ایستی
وانسته,نایستد
وانمیسته,نمی‌ایستد
وامیسته,می‌ایستد
وانستیم,نایستیم
وانمیستیم,نمی‌ایستیم
وامیستیم,می‌ایستیم
وانستین,نایستید
وانمیستین,نمی‌ایستید
وامیستین,می‌ایستید
وانستید,نایستید
وانمیستید,نمی‌ایستید
وامیستید,می‌ایستید
وانستند,نایستند
وانمیستند,نمی‌ایستند
وامیستند,می‌ایستند
وانست,نایست
وانمیست,نمی‌ایست
وامیست,می‌ایست
وانستن,نایستند
وانمیستن,نمی‌ایستند
وامیستن,می‌ایستند
برنگردم,برنگردم
برنمیگردم,برنمی‌گردم
برمیگردم,برمی‌گردم
برنگردی,برنگردی
برنمیگردی,برنمی‌گردی
برمیگردی,برمی‌گردی
برنگرده,برنگردد
برنمیگرده,برنمی‌گردد
برمیگرده,برمی‌گردد
برنگردیم,برنگردیم
برنمیگردیم,برنمی‌گردیم
برمیگردیم,برمی‌گردیم
برنگردین,برنگردید
برنمیگردین,برنمی‌گردید
برمیگردین,برمی‌گردید
برنگردید,برنگردید
برنمیگردید,برنمی‌گردید
برمیگردید,برمی‌گردید
برنگردند,برنگردند
برنمیگردند,برنمی‌گردند
برمیگردند,برمی‌گردند
برنگرد,برنگرد
برنمیگرد,برنمی‌گرد
برمیگرد,برمی‌گرد
برنگردن,برنگردند
برنمیگردن,برنمی‌گردند
برمیگردن,برمی‌گردند
ورندارم,برندارم
ورنمیدارم,برنمی‌دارم
ورمیدارم,برمی‌دارم
ورنداری,برنداری
ورنمیداری,برنمی‌داری
ورمیداری,برمی‌داری
ورنداره,برندارد
ورنمیداره,برنمی‌دارد
ورمیداره,برمی‌دارد
ورنداریم,برنداریم
ورنمیداریم,برنمی‌داریم
ورمیداریم,برمی‌داریم
ورندارین,برندارید
ورنمیدارین,برنمی‌دارید
ورمیدارین,برمی‌دارید
ورندارید,برندارید
ورنمیدارید,برنمی‌دارید
ورمیدارید,برمی‌دارید
ورندارند,برندارند
ورنمیدارند,برنمی‌دارند
ورمیدارند,برمی‌دارند
ورندار,برندار
ورنمیدار,برنمی‌دار
ورمیدار,برمی‌دار
ورندارن,برندارند
ورنمیدارن,برنمی‌دارند
ورمیدارن,برمی‌دارند
برنگشتم,برنگشتم
برنمیگشتم,برنمی‌گشتم
برمیگشتم,برمی‌گشتم
برنگشتی,برنگشتی
برنمیگشتی,برنمی‌گشتی
برمیگشتی,برمی‌گشتی
برنگشته,برنگشتد
برنمیگشته,برنمی‌گشتد
برمیگشته,برمی‌گشتد
برنگشتیم,برنگشتیم
برنمیگشتیم,برنمی‌گشتیم
برمیگشتیم,برمی‌گشتیم
برنگشتین,برنگشتید
برنمیگشتین,برنمی‌گشتید
برمیگشتین,برمی‌گشتید
برنگشتید,برنگشتید
برنمیگشتید,برنمی‌گشتید
برمیگشتید,برمی‌گشتید
برنگشتند,برنگشتند
برنمیگشتند,برنمی‌گشتند
برمیگشتند,برمی‌گشتند
برنگشت,برنگشت
برنمیگشت,برنمی‌گشت
برمیگشت,برمی‌گشت
برنگشتن,برنگشتند
برنمیگشتن,برنمی‌گشتند
برمیگشتن,برمی‌گشتند
نمیومدم,نمی‌آمدم
نمیومدی,نمی‌آمدی
نمیومده,نمی‌آمده
نمیومدیم,نمی‌آمدیم
نمیومدین,نمی‌آمدید
نمیومدید,نمی‌آمدید
نمیومدند,نمی‌آمدند
نمیومد,نمی‌آمد
نمیومدن,نمی‌آمدند
نمیوفتم,نمی‌افتم
نمیوفتی,نمی‌افتی
نمیوفته,نمی‌افتد
نمیوفتیم,نمی‌افتیم
نمیوفتین,نمی‌افتید
نمیوفتید,نمی‌افتید
نمیوفتند,نمی‌افتند
نمیوفت,نمی‌افت
نمیوفتن,نمی‌افتند
میومدم,می‌آمدم
میومدی,می‌آمدی
میومده,می‌آمده
میومدیم,می‌آمدیم
میومدین,می‌آمدید
میومدید,می‌آمدید
میومدند,می‌آمدند
میومد,می‌آمد
میومدن,می‌آمدند
میوفتم,می‌افتم
میوفتی,می‌افتی
میوفته,می‌افتد
میوفتیم,می‌افتیم
میوفتین,می‌افتید
میوفتید,می‌افتید
میوفتند,می‌افتند
میوفت,می‌افت
میوفتن,می‌افتند
بیوفتم,بیفتم
بیوفتی,بیفتی
بیوفته,بیفتد
بیوفتیم,بیفتیم
بیوفتین,بیفتید
بیوفتید,بیفتید
بیوفتند,بیفتند
بیوفت,بیفت
بیوفتن,بیفتند
ماکارونی,ماکارانی
بادوم,بادام
هندونه,هندوانه
ایولا,آفرین
ایول,آفرین
تومن,تومان
دقه,دقیقه
واس,برای
راس,راست
تو,در - تو
اضاف,اضافه
چش,چشم
خنگول,خنگ
خوشال,خوشحال
ست,است
س,است
تایم,زمان
یارو,طرف
برا,برای
فک,فکر
آخه,آخر
الان,اکنون
ینی,یعنی
بدم,بدم
بده,بد است
کلوم,کلام
اوکی,باشد
خورد,خرد
یکهو,ناگهان
یهو,ناگهان
چ,چه
چیا,چه چیزهایی
کیا,چه کسانی
ماها,همگی ما
شماها,همگی شما
دفعه,مرتبه
قرعان,قرآن
خواهشا,لطفاً
فدات,فدایت
آها,آها
آها,اوهوم
آخ,آخ
اه,اه
عه,عه
کاشکی,کاش
برام,برای من
برات,برای تو
براش,برای او
براتون,برای شما
برامون,برای ما
براشون,برای آنان
براشان,برای آنان
برامان,برای ما
همش,تمامش
همشون,همگی آنان
همتون,همگی شما
کلش,کل آن
کلشون,کل آنان
کلتون,کل شما
چیشد,چه شد
بابا,بابا
عب,عیب
بهم,به من- به هم
بهت,به تو
بهش,به او
بهمون,به ما
بهتون,به شما
بهشون,به آنان
بدم,بدهم -بدم
بدت,بدت
برای,برای
ول,رها
نشون,نشان
خانم,خانم
اصلا,اصلا
آقایون,آقایان
خانوم,خانم
نشونم,نشانم
نشونت,نشانت
نشونش,نشانش
نشونمان,نشانمان
نشونمان,نشان‌مان
نشونمون,نشان‌مان
نشونشون,نشانشان
نشونشان,نشانشان
نشونی,نشانی
راجب,درمورد
راجبش,درموردش
اینکه,این که
مسخره,مسخره
نگا,نگاه
برم,بروم
برن,بروند
بری,بروی
ایشون,ایشان
خیله,بسیار
بهر,به هر
برین,برین
پیام,پیام
متشکر,سپاسگزارم
کلا,کلا
اصلا,اصلا
واقعا,واقعا
جون,جان
قبلا,قبلا
قبلاً,قبلاً
بابا,بابا
بده,بده
بدم,بدم
بدش,بدش
بدیش,بدیش
بدمان,بدمان
بدمون,بدمان
بدشون,بدشان
بدشان,بدشان
بدها,بدها
نون,نان
همش,همه آن -همه او
همتون,همه شما
همشون,همه آنان
همشو,همه آن را - همه او را
همتونو,همه شما را
هممون,همه ما
هممونو,همه ما را
همو,یکدیگر را
همشان,همشان -همه آنان
همشانو,همه آنان را
همشونو,همه آنان را
ازشونم,از آنان هم - از آنان هستم
ازتونم,از شما نیز - از شما هستم
خونم,خانه‌ام - خانم - خونه هستم - خانه هم -خون هم
آها,آها
خودم,خودم
خودت,خودت
خودش,خودش
خودمون,خودمان
خودمان,خودمان
خودتون,خودتان
خودتان,خودتان
خودشون,خودشان
خودشان,خودشان
خودشو,خودش را
خودمونو,خودمان را
خودمانو,خودمان را
خودتونو,خودتان را
خودتانو,خودتان را
خودشونو,خودشان را
خودشانو,خودشان را
اینجا,این‌جا
اونجا,آن‌جا
هرکی,هرکس
کیا,چه کسانی
چیا,چه چیزهایی
آها,آها
کند,کند - کند
بده,بدهد - بد است
بدم,بدهم - بدم
اها,آها
باهام,با من
باهات,با تو
باهاش,با او
باهامون,با ما
باهاتون,با شما
باهاشون,با آنان
بهت,به تو - بهت
بهش,به او - به آن
بهمون,به ما
بهشون,به آنان
بهشان,به آنان
بهتان,به شما
ازم,از من
ازت,از تو
ازش,از او -از آن
ازتون,از شما
ازشون,از آنان
ازمون,از ما
ایکاش,کاش
حتمنی,حتما
یکمی,کمی
چمدون,چمدان
منو,من را- منو
ایشاالله,انشاالله
ایشالا,انشاالله
ایشااله,انشاالله
ایشاله,انشاالله
روش,روش-رویش
نگه,نگاه
نمونه,نمونه
بدون,بدون
درسته,درست است
بعله,بلی
اره,آری -اره
قشنگ,زیبا
آباده,"آباد است
"
آسمانه,"آسمان است
"
آغازیه,"آغازی است
"
آماره,"آمار است
"
آهوانه,"آهوان است
"
آیاته,"آیات است
"
اجراییه,"اجرایی است
"
استعاره,"استعار است
"
اصحابه,"اصحاب است
"
افعاله,"افعال است
"
الونده,"الوند است
"
اکباتانه,"اکباتان است
"
اکسیده,"اکسید است
"
بادگیره,"بادگیر است
"
باکتریه,"باکتری است
"
بدمنظره,"بدمنظر است
"
بدکاره,"بدکار است
"
برنزه,"برنز است
"
بشره,"بشر است
"
بنگاله,"بنگال است
"
بهروزیه,"بهروزی است
"
بی‌شماره,"بی‌شمار است
"
بی‌منازعه,"بی‌منازع است
"
بی‌مهره,"بی‌مهر است
"
بی‌نشانه,"بی‌نشان است
"
بی‌کربناته,"بی‌کربنات است
"
تابستانه,"تابستان است
"
تازه‌وارده,"تازه‌وارد است
"
تعدیه,"تعدی است
"
جداره,"جدار است
"
جدیده,"جدید است
"
جلیله,"جلیل است
"
جنگیه,"جنگی است
"
حاصله,"حاصل است
"
حبله,"حبل است
"
حبیبه,"حبیب است
"
حدوده,"حدود است
"
حرمه,"حرم است
"
حزنه,"حزن است
"
حنفیه,"حنفی است
"
خرناسه,"خرناس است
"
خشایارشاه,"خشایارشا است
"
خموده,"خمود است
"
خواب‌آلوده,"خواب‌آلود است
"
خوش‌منظره,"خوش‌منظر است
"
خپله,"خپل است
"
دستجرده,"دستجرد است
"
دل‌آشوبه,"دل‌آشوب است
"
دوازدهه,"دوازده است
"
دگرگونه,"دگرگون است
"
دینه,"دین است
"
دیپلمه,"دیپلم است
"
ربیعه,"ربیع است
"
رحیمه,"رحیم است
"
رخساره,"رخسار است
"
رسالاته,"رسالات است
"
رسالته,"رسالت است
"
رسوله,"رسول است
"
رضوانه,"رضوان است
"
رضویه,"رضوی است
"
رقاصه,"رقاص است
"
رنگینه,"رنگین است
"
روبنده,"روبند است
"
زندقه,"زندق است
"
زواره,"زوار است
"
ساحره,"ساحر است
"
ساعته,"ساعت است
"
ستیزه,"ستیز است
"
سرباره,"سربار است
"
سرشناسه,"سرشناس است
"
سواره,"سوار است
"
سیاهه,"سیاه است
"
سیبریه,"سیبری است
"
سیمینه,"سیمین است
"
سیم‌پیچه,"سیم‌پیچ است
"
شادمانه,"شادمان است
"
شاعره,"شاعر است
"
شرابه,"شراب است
"
شرعیه,"شرعی است
"
شهرامه,"شهرام است
"
شیرینه,"شیرین است
"
طاعته,"طاعت است
"
طلاقه,"طلاق است
"
طلاییه,"طلایی است
"
عالیه,"عالی است
"
غبارآلوده,"غبارآلود است
"
غرقابه,"غرقاب است
"
فاعله,"فاعل است
"
فرموله,"فرمول است
"
فرهاده,"فرهاد است
"
قومه,"قوم است
"
لیسانسه,"لیسانس است
"
مأخوذه,"مأخوذ است
"
مؤذنه,"مؤذن است
"
مارتینه,"مارتین است
"
ماهه,"ماه است
"
مباحثه,"مباحث است
"
مبارکه,"مبارک است
"
متداوله,"متداول است
"
متشکله,"متشکل است
"
متصرفه,"متصرف است
"
متصله,"متصل است
"
متغیره,"متغیر است
"
متنوعه,"متنوع است
"
مثبته,"مثبت است
"
محاطه,"محاط است
"
محمدیه,"محمدی است
"
محوله,"محول است
"
مخاصمه,"مخاصم است
"
مختلفه,"مختلف است
"
مخدره,"مخدر است
"
مرتعشه,"مرتعش است
"
مزینه,"مزین است
"
مستوره,"مستور است
"
مسروقه,"مسروق است
"
مسطوره,"مسطور است
"
مسلحه,"مسلح است
"
مطبوعه,"مطبوع است
"
معتدله,"معتدل است
"
معلقه,"معلق است
"
معموره,"معمور است
"
مغلوبه,"مغلوب است
"
مغیره,"مغیر است
"
مفاخره,"مفاخر است
"
مفتوحه,"مفتوح است
"
مقاتله,"مقاتل است
"
مقامه,"مقام است
"
مقدسه,"مقدس است
"
مقرره,"مقرر است
"
ملازمه,"ملازم است
"
ممتحنه,"ممتحن است
"
منازعه,"منازع است
"
منتجه,"منتج است
"
منحرفه,"منحرف است
"
منصوره,"منصور است
"
منعقده,"منعقد است
"
مهرانه,"مهران است
"
مهرزاده,"مهرزاد است
"
مهمانه,"مهمان است
"
مواضعه,"مواضع است
"
موجبه,"موجب است
"
مورخه,"مورخ است
"
موضوعه,"موضوع است
"
میهنه,"میهن است
"
نائله,"نائل است
"
ناشایسته,"ناشایست است
"
هومنه,"هومن است
"
هیدروژنه,"هیدروژن است
"
واژگونه,"واژگون است
"
ویتامینه,"ویتامین است
"
ویراسته,"ویراست است
"
پرتابه,"پرتاب است
"
پروازه,"پرواز است
"
پس‌مانده,"پس‌ماند است
"
پمپه,"پمپ است
"
چاهه,"چاه است
"
چهارچوبه,"چهارچوب است
"
تاییده,"تایید است
"
چوبینه,"چوبین است
"
کاذبه,"کاذب است
"
کارآگاهه,"کارآگاه است
"
کتابه,"کتاب است
"
کردیه,"کردی است
"
کلاسه,"کلاس است
"
کوهه,"کوه است
"
گسله,"گسل است
"
گلستانه,"گلستان است
"
کاریه,"کاری است
"
اجتماعیه,"اجتماعی است
"
محققانه,"محققان است
"
کارشناسانه,"کارشناسان است
"
باقریه,"باقری است
"
رضاییه,"رضایی است
"
متخصصانه,"متخصصان است
"
دینیه,"دینی است
"
نوجوانانه,"نوجوانان است
"
اتفاقیه,"اتفاقی است
"
جوانانه,"جوانان است
"
ایثارگرانه,"ایثارگران است
"
سیاست‌گذارانه,"سیاست‌گذاران است
"
اصلاح‌طلبانه,"اصلاح‌طلبان است
"
دشمنانه,"دشمنان است
"
روزنامه‌نگارانه,"روزنامه‌نگاران است
"
سیاستمدارانه,"سیاستمداران است
"
محافظه‌کارانه,"محافظه‌کاران است
"
فعالانه,"فعالان است
"
غربیه,"غربی است
"
همفکرانه,"همفکران است
"
فانه,"فان است
"
اعتراضیه,"اعتراضی است
"
منتقدانه,"منتقدان است
"
مقدماتیه,"مقدماتی است
"
شرقیه,"شرقی است
"
امامیه,"امامی است
"
فرنگیه,"فرنگی است
"
نظامیه,"نظامی است
"
اکبریه,"اکبری است
"
جامعه‌شناسانه,"جامعه‌شناسان است
"
انگشتانه,"انگشتان است
"
محیطیه,"محیطی است
"
روشنفکرانه,"روشنفکران است
"
پادشاهانه,"پادشاهان است
"
دلاورانه,"دلاوران است
"
تحلیلگرانه,"تحلیلگران است
"
عثمانیه,"عثمانی است
"
مجتهدانه,"مجتهدان است
"
پیامبرانه,"پیامبران است
"
مؤمنانه,"مؤمنان است
"
غفره,"غفر است
"
متحجرانه,"متحجران است
"
ملی‌گرایانه,"ملی‌گرایان است
"
فیلسوفانه,"فیلسوفان است
"
متقیانه,"متقیان است
"
آزاداندیشانه,"آزاداندیشان است
"
شایعه‌سازانه,"شایعه‌سازان است
"
دائره,"دائر است
"
قاسمیه,"قاسمی است
"
سلطانیه,"سلطانی است
"
طرفدارانه,"طرفداران است
"
باستان‌شناسانه,"باستان‌شناسان است
"
مألفه,"مألف است
"
ورودیه,"ورودی است
"
قمریه,"قمری است
"
سلجوقیه,"سلجوقی است
"
معصومیه,"معصومی است
"
عالمانه,"عالمان است
"
قفقازیه,"قفقازی است
"
ناصریه,"ناصری است
"
کافرانه,"کافران است
"
مقلدانه,"مقلدان است
"
بی‌شاخه,"بی‌شاخ است
"
قبطیه,"قبطی است
"
سعیدیه,"سعیدی است
"
هواخواهانه,"هواخواهان است
"
داوطلبانه,"داوطلبان است
"
کاوشگرانه,"کاوشگران است
"
سلیمانیه,"سلیمانی است
"
رحمانیه,"رحمانی است
"
مجرمانه,"مجرمان است
"
منظریه,"منظری است
"
رندانه,"رندان است
"
بت‌پرستانه,"بت‌پرستان است
"
گناهکارانه,"گناهکاران است
"
صمدیه,"صمدی است
"
اسکندریه,"اسکندری است
"
تجاوزگرانه,"تجاوزگران است
"
کارپردازانه,"کارپردازان است
"
امیریه,"امیری است
"
مصلحانه,"مصلحان است
"
قدرتمندانه,"قدرتمندان است
"
دلسوزانه,"دلسوزان است
"
غاصبانه,"غاصبان است
"
مستکبرانه,"مستکبران است
"
نادریه,"نادری است
"
جاهلانه,"جاهلان است
"
منشیانه,"منشیان است
"
سوداگرانه,"سوداگران است
"
ارادتمندانه,"ارادتمندان است
"
کارآفرینانه,"کارآفرینان است
"
اصولگرایانه,"اصولگرایان است
"
پهلوانانه,"پهلوانان است
"
ماسکه,"ماسک است
"
صوفیانه,"صوفیان است
"
جمشیدیه,"جمشیدی است
"
امامانه,"امامان است
"
استعمارگرانه,"استعمارگران است
"
مستبدانه,"مستبدان است
"
جدایی‌طلبانه,"جدایی‌طلبان است
"
ضیاییه,"ضیایی است
"
مسعودیه,"مسعودی است
"
پارسایانه,"پارسایان است
"
باطنیه,"باطنی است
"
انحصارطلبانه,"انحصارطلبان است
"
غفاریه,"غفاری است
"
معمارانه,"معماران است
"
جوانمردانه,"جوانمردان است
"
بزهکارانه,"بزهکاران است
"
جنگجویانه,"جنگجویان است
"
آشوبگرانه,"آشوبگران است
"
جبلیه,"جبلی است
"
زیست‌شناسانه,"زیست‌شناسان است
"
شکافته,"شکافت است
"
شکوهیه,"شکوهی است
"
ادیبانه,"ادیبان است
"
راستگرایانه,"راستگرایان است
"
قائمیه,"قائمی است
"
منصوریه,"منصوری است
"
خشونت‌طلبانه,"خشونت‌طلبان است
"
قدغنه,"قدغن است
"
خطابیه,"خطابی است
"
قانونگذارانه,"قانونگذاران است
"
زورمندانه,"زورمندان است
"
بنیادگرایانه,"بنیادگرایان است
"
اقتدارطلبانه,"اقتدارطلبان است
"
چاپلوسانه,"چاپلوسان است
"
چپ‌گرایانه,"چپ‌گرایان است
"
شهریارانه,"شهریاران است
"
فرصت‌طلبانه,"فرصت‌طلبان است
"
آشوب‌طلبانه,"آشوب‌طلبان است
"
موحدانه,"موحدان است
"
شکاکانه,"شکاکان است
"
روان‌شناسانه,"روان‌شناسان است
"
سنت‌گرایانه,"سنت‌گرایان است
"
سونیه,"سونی است
"
مددکارانه,"مددکاران است
"
متشرعانه,"متشرعان است
"
اسراف‌کارانه,"اسراف‌کاران است
"
آخریشه,"آخریش است
"
زلالیه,"زلالی است
"
کار‌کرده,"کار‌کرد است
"
مشخّصه,"مشخّص است
"
یادم,یادم
یادمون,یادمان
یادت,یادت
یادمان,یادمان
یادش,یادش
یادشون,یادشان
یادشان,یادشان
یادتون,یادتان
یادتان,یادتان
پشیمون,پشیمان
پشیمان,پشیمان
بدن,بدن
بدنم,بدنم
بدنش,بدنش
بدنت,بدنت
بدنمان,بدنمان
بدنمون,بدنمان
بدنتان,بدنتان
بدنتون,بدنتان
بدنشون,بدنشان
بدنشان,بدنشان
بدی,بدی
بدین,بدی هستند
بدیم,بدی هستیم
برم,بروم
بره,برود - بره
بری,بری - بروی
حروم,حرام
هممم,هممم
اوم,اوم
اومم,اوم
اوممم,اوم
کسایی,کسانی
کساییکه,کسانی که
جاییکه,جایی که
بلد,بلد
ریست,ریست
خوشبخته,خوشبخت است
برانگیزه,برانگیز است
همینه,همین است
همونه,همان است
جون,جان
پا,پا
چرت,چرت
